brand_code,machine_name_ko,machine_name_en,verified_model,verification_status,manufacturer,product_series,source_url,verified_structure,verified_adjustments,exercise_tip,exercise_tip_en
HAMMER_STRENGTH,체스트 프레스,Chest Press,Hammer Strength Select Chest Press,VERIFIED,Life Fitness (Hammer Strength),Select,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,Hammer Strength Select 라인의 셀렉터라이즈드 체스트 프레스(HS-CP)입니다.,"시트 높이, 스택 핀, 손잡이","🏋️ HAMMER STRENGTH — Hammer Strength Select Chest Press · Select

🎯 ONE KEY CUE
🔥 ""등을 패드에 고정하고 가슴 중앙으로 밀기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: Hammer Strength Select Chest Press
Hammer Strength Select 라인의 셀렉터라이즈드 체스트 프레스(HS-CP)입니다.
⚙️ 조절 포인트: 시트 높이, 스택 핀, 손잡이

🛤️ ② 운동 경로
가슴 높이에서 손잡이를 앞쪽으로 밀었다 천천히 복귀

⚠️ ③ 흔한 실수
어깨를 앞으로 말리며 반동으로 밀어내는 것

💡 MACHINE FIT PRO TIP
Select 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Hammer Strength Select Chest Press · Select

🎯 ONE KEY CUE
🔥 ""Keep the back on the pad and press through the center of the chest""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: Hammer Strength Select Chest Press
Hammer Strength Select 라인의 셀렉터라이즈드 체스트 프레스(HS-CP).
⚙️ Adjustments: 시트 높이, 스택 핀, 손잡이

🛤️ ② Movement path
가슴 높이에서 손잡이를 앞쪽으로 press었다 천천히 return

⚠️ ③ Common mistake
어깨를 앞으로 말리며 반동으로 밀어내는 

💡 MACHINE FIT PRO TIP
Use the Select guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,인클라인 체스트 프레스,Incline Chest Press,MTS Iso-Lateral Incline Press,VERIFIED,Life Fitness (Hammer Strength),MTS,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/motion-technology-selectorised,MTS 라인의 독립 스택 인클라인 체스트 프레스(MTSIP)입니다.,"시트, 패드, 스택 핀","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Incline Press · MTS

🎯 ONE KEY CUE
🔥 ""견갑을 고정하고 대각선 위로 밀기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: MTS Iso-Lateral Incline Press
MTS 라인의 독립 스택 인클라인 체스트 프레스(MTSIP)입니다.
⚙️ 조절 포인트: 시트, 패드, 스택 핀

🛤️ ② 운동 경로
인클라인 각도에서 손잡이를 위·앞으로 밀었다 복귀

⚠️ ③ 흔한 실수
허리를 과하게 아치해 상부 가슴 대신 요추에 힘을 주는 것

💡 MACHINE FIT PRO TIP
MTS 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Incline Press · MTS

🎯 ONE KEY CUE
🔥 ""Set the scapula and press upward on a diagonal""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: MTS Iso-Lateral Incline Press
MTS 라인의 독립 스택 인클라인 체스트 프레스(MTSIP).
⚙️ Adjustments: 시트, 패드, 스택 핀

🛤️ ② Movement path
인클라인 각도에서 손잡이를 위·앞으로 press었다 return

⚠️ ③ Common mistake
허리를 과하게 아치해 상부 가슴 대신 요추에 힘을 주는 

💡 MACHINE FIT PRO TIP
Use the MTS guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,디클라인 체스트 프레스,Decline Chest Press,MTS Iso-Lateral Decline Press,VERIFIED,Life Fitness (Hammer Strength),MTS,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/motion-technology-selectorised,MTS 라인의 독립 스택 디클라인 체스트 프레스(MTSDP)입니다.,"시트, 패드, 스택 핀","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Decline Press · MTS

🎯 ONE KEY CUE
🔥 ""하부 가슴을 목표로 아래·앞 방향으로 밀기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: MTS Iso-Lateral Decline Press
MTS 라인의 독립 스택 디클라인 체스트 프레스(MTSDP)입니다.
⚙️ 조절 포인트: 시트, 패드, 스택 핀

🛤️ ② 운동 경로
디클라인 각도에서 손잡이를 아래·앞으로 밀었다 복귀

⚠️ ③ 흔한 실수
팔꿈치를 몸통 밖으로 과하게 벌리는 것

💡 MACHINE FIT PRO TIP
MTS 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Decline Press · MTS

🎯 ONE KEY CUE
🔥 ""Press down and forward toward the lower chest""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: MTS Iso-Lateral Decline Press
MTS 라인의 독립 스택 디클라인 체스트 프레스(MTSDP).
⚙️ Adjustments: 시트, 패드, 스택 핀

🛤️ ② Movement path
디클라인 각도에서 손잡이를 아래·앞으로 press었다 return

⚠️ ③ Common mistake
팔꿈치를 몸통 밖으로 과하게 벌리는 

💡 MACHINE FIT PRO TIP
Use the MTS guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,컨버징 체스트 프레스,Converging Chest Press,Plate-Loaded Iso-Lateral Wide Chest,PARTIALLY_VERIFIED,Life Fitness (Hammer Strength),Plate-Loaded,https://www.lifefitness.com/en-us/catalog/strength-training/plate-loaded/plate-loaded-iso-lateral-wide-chest,"공식 명칭은 Wide Chest(IL-WC)이며, 수렴(converging) 궤적의 플레이트로드 체스트 프레스입니다. 별도 ""Converging Chest Press"" SKU는 없습니다.","시트, 팔 시작 위치, 중량","🏋️ HAMMER STRENGTH — Plate-Loaded Iso-Lateral Wide Chest · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""넓은 시작에서 가슴 중앙으로 수렴하며 밀기""

⚙️ ① 기구 세팅
📋 검증 상태: PARTIALLY_VERIFIED
🏷️ 확인 모델: Plate-Loaded Iso-Lateral Wide Chest
공식 명칭은 Wide Chest(IL-WC)이며, 수렴(converging) 궤적의 플레이트로드 체스트 프레스입니다. 별도 ""Converging Chest Press"" SKU는 없습니다.
⚙️ 조절 포인트: 시트, 팔 시작 위치, 중량

🛤️ ② 운동 경로
양팔이 바깥에서 안쪽으로 수렴하며 앞·아래로 프레스

⚠️ ③ 흔한 실수
수렴 궤적을 무시하고 평행으로만 밀어내는 것

💡 MACHINE FIT PRO TIP
Plate-Loaded 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Plate-Loaded Iso-Lateral Wide Chest · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""Press from a wide start and converge toward the center of the chest""

⚙️ ① Setup
📋 Status: PARTIALLY_VERIFIED
🏷️ Verified model: Plate-Loaded Iso-Lateral Wide Chest
공식 명칭은 Wide Chest(IL-WC)이며, 수렴(converging) 궤적의 플레이트로드 체스트 프레스입니다. 별도 ""Converging Chest Press"" SKU는 없습니다.
⚙️ Adjustments: 시트, 팔 시작 위치, 중량

🛤️ ② Movement path
양팔이 바깥에서 안쪽으로 수렴하며 앞·아래로 프레스

⚠️ ③ Common mistake
수렴 궤적을 무시하고 평행으로만 밀어내는 

💡 MACHINE FIT PRO TIP
Use the Plate-Loaded guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,아이소래터럴 체스트 프레스,Iso-Lateral Chest Press,MTS Iso-Lateral Chest Press,VERIFIED,Life Fitness (Hammer Strength),MTS,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/motion-technology-selectorised,MTS Iso-Lateral Chest Press(MTSCP)로 좌우 독립 스택과 아이소래터럴 프레스 동작을 제공합니다.,"시트, 패드, 좌·우 스택 핀","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Chest Press · MTS

🎯 ONE KEY CUE
🔥 ""좌우를 같은 속도로 밀며 불균형 확인""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: MTS Iso-Lateral Chest Press
MTS Iso-Lateral Chest Press(MTSCP)로 좌우 독립 스택과 아이소래터럴 프레스 동작을 제공합니다.
⚙️ 조절 포인트: 시트, 패드, 좌·우 스택 핀

🛤️ ② 운동 경로
각 팔이 독립적으로 앞으로 밀었다 천천히 복귀

⚠️ ③ 흔한 실수
한쪽 팔만 먼저 밀어 비대칭을 키우는 것

💡 MACHINE FIT PRO TIP
MTS 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — MTS Iso-Lateral Chest Press · MTS

🎯 ONE KEY CUE
🔥 ""Press both sides at the same speed and watch for imbalances""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: MTS Iso-Lateral Chest Press
MTS Iso-Lateral Chest Press(MTSCP)로 좌우 독립 스택과 아이소래터럴 프레스 동작을 제공합니다.
⚙️ Adjustments: 시트, 패드, 좌·우 스택 핀

🛤️ ② Movement path
각 팔이 독립적으로 앞으로 press었다 천천히 return

⚠️ ③ Common mistake
한쪽 팔만 먼저 밀어 비대칭을 키우는 

💡 MACHINE FIT PRO TIP
Use the MTS guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,플레이트로드 체스트 프레스,Plate-Loaded Chest Press,Plate-Loaded Iso-Lateral Bench Press,VERIFIED,Life Fitness (Hammer Strength),Plate-Loaded,https://www.lifefitness.com/en-us/catalog/strength-training/plate-loaded,플레이트로드 Iso-Lateral Bench Press(IL-BP)로 독립 팔 프레스 동작을 제공합니다.,"시트, 패드, 중량","🏋️ HAMMER STRENGTH — Plate-Loaded Iso-Lateral Bench Press · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""가슴 높이에서 팔꿈치와 손목 정렬 유지""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: Plate-Loaded Iso-Lateral Bench Press
플레이트로드 Iso-Lateral Bench Press(IL-BP)로 독립 팔 프레스 동작을 제공합니다.
⚙️ 조절 포인트: 시트, 패드, 중량

🛤️ ② 운동 경로
수평에 가까운 각도에서 손잡이를 앞으로 밀었다 복귀

⚠️ ③ 흔한 실수
플레이트 편차로 좌우 저항이 달라지는 것

💡 MACHINE FIT PRO TIP
Plate-Loaded 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Plate-Loaded Iso-Lateral Bench Press · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""Keep elbows and wrists aligned at chest height""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: Plate-Loaded Iso-Lateral Bench Press
플레이트로드 Iso-Lateral Bench Press(IL-BP)로 독립 팔 프레스 동작을 제공합니다.
⚙️ Adjustments: 시트, 패드, 중량

🛤️ ② Movement path
수평에 가까운 각도에서 손잡이를 앞으로 press었다 return

⚠️ ③ Common mistake
플레이트 편차로 좌우 저항이 달라지는 

💡 MACHINE FIT PRO TIP
Use the Plate-Loaded guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,펙덱,Pec Deck,Hammer Strength Select Pectoral Fly,VERIFIED,Life Fitness (Hammer Strength),Select,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,Select Pectoral Fly(HS-PEC) 셀렉터라이즈드 펙덱 머신입니다.,"시트, 팔 패드, 스택 핀","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly · Select

🎯 ONE KEY CUE
🔥 ""견갑을 고정하고 팔꿈치를 안쪽으로 모으기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: Hammer Strength Select Pectoral Fly
Select Pectoral Fly(HS-PEC) 셀렉터라이즈드 펙덱 머신입니다.
⚙️ 조절 포인트: 시트, 팔 패드, 스택 핀

🛤️ ② 운동 경로
팔을 넓게 시작해 가슴 앞에서 모았다 천천히 벌리기

⚠️ ③ 흔한 실수
어깨를 앞으로 굴러 플라이를 프레스로 대체하는 것

💡 MACHINE FIT PRO TIP
Select 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly · Select

🎯 ONE KEY CUE
🔥 ""Pin the scapula and bring the elbows together in front""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: Hammer Strength Select Pectoral Fly
Select Pectoral Fly(HS-PEC) 셀렉터라이즈드 펙덱 머신.
⚙️ Adjustments: 시트, 팔 패드, 스택 핀

🛤️ ② Movement path
팔을 넓게 시작해 가슴 앞에서 모았다 천천히 벌리기

⚠️ ③ Common mistake
어깨를 앞으로 굴러 플라이를 프레스로 대체하는 

💡 MACHINE FIT PRO TIP
Use the Select guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,리어 델트 / 리버스 펙덱,Rear Delt / Reverse Pec Deck,Hammer Strength Select Pectoral Fly/Rear Deltoid,VERIFIED,Life Fitness (Hammer Strength),Select,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,Select Pectoral Fly/Rear Deltoid(HS-FLY)로 펙덱·리어 델트 양면 사용이 가능합니다.,"시트, 팔 패드 방향, 스택 핀","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly/Rear Deltoid · Select

🎯 ONE KEY CUE
🔥 ""리어 델트 모드에서 팔꿈치를 뒤·바깥으로 열기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: Hammer Strength Select Pectoral Fly/Rear Deltoid
Select Pectoral Fly/Rear Deltoid(HS-FLY)로 펙덱·리어 델트 양면 사용이 가능합니다.
⚙️ 조절 포인트: 시트, 팔 패드 방향, 스택 핀

🛤️ ② 운동 경로
가슴 앞에서 팔을 뒤·바깥으로 벌렸다 복귀

⚠️ ③ 흔한 실수
견갑을 앞으로 말리며 후면 어깨 대신 승모근을 쓰는 것

💡 MACHINE FIT PRO TIP
Select 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly/Rear Deltoid · Select

🎯 ONE KEY CUE
🔥 ""In rear-delt mode, open the elbows back and out""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: Hammer Strength Select Pectoral Fly/Rear Deltoid
Select Pectoral Fly/Rear Deltoid(HS-FLY)로 펙덱·리어 델트 양면 사용이 가능합니다.
⚙️ Adjustments: 시트, 팔 패드 방향, 스택 핀

🛤️ ② Movement path
가슴 앞에서 팔을 뒤·바깥으로 벌렸다 return

⚠️ ③ Common mistake
견갑을 앞으로 말리며 후면 어깨 대신 승모근을 쓰는 

💡 MACHINE FIT PRO TIP
Use the Select guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,플라이 머신,Fly Machine,Hammer Strength Select Pectoral Fly,PARTIALLY_VERIFIED,Life Fitness (Hammer Strength),Select,https://www.lifefitness.com/en-us/catalog/strength-training/selectorized/hammer-strength-select,공식 플라이 전용 모델은 Select Pectoral Fly(HS-PEC)입니다. HS-FLY는 리어 델트 겸용입니다.,"시트, 팔 패드, 스택 핀","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly · Select

🎯 ONE KEY CUE
🔥 ""가슴을 펼친 뒤 팔꿈치 기준으로 안쪽으로 모으기""

⚙️ ① 기구 세팅
📋 검증 상태: PARTIALLY_VERIFIED
🏷️ 확인 모델: Hammer Strength Select Pectoral Fly
공식 플라이 전용 모델은 Select Pectoral Fly(HS-PEC)입니다. HS-FLY는 리어 델트 겸용입니다.
⚙️ 조절 포인트: 시트, 팔 패드, 스택 핀

🛤️ ② 운동 경로
넓은 호를 그리며 팔을 가슴 앞에서 모았다 벌리기

⚠️ ③ 흔한 실수
HS-FLY 리어 델트 모드와 HS-PEC 펙 플라이를 혼동하는 것

💡 MACHINE FIT PRO TIP
Select 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Hammer Strength Select Pectoral Fly · Select

🎯 ONE KEY CUE
🔥 ""Open the chest, then hug inward through the elbows""

⚙️ ① Setup
📋 Status: PARTIALLY_VERIFIED
🏷️ Verified model: Hammer Strength Select Pectoral Fly
공식 플라이 전용 모델은 Select Pectoral Fly(HS-PEC)입니다. HS-FLY는 리어 델트 겸용.
⚙️ Adjustments: 시트, 팔 패드, 스택 핀

🛤️ ② Movement path
넓은 호를 그리며 팔을 가슴 앞에서 모았다 벌리기

⚠️ ③ Common mistake
HS-FLY 리어 델트 모드와 HS-PEC 펙 플라이를 혼동하는 

💡 MACHINE FIT PRO TIP
Use the Select guided path: slow the first two sets, check left-right symmetry, then add load."
HAMMER_STRENGTH,딥 머신,Dip Machine,Plate-Loaded Seated Dip,VERIFIED,Life Fitness (Hammer Strength),Plate-Loaded,https://www.lifefitness.com/en-us/catalog/strength-training/plate-loaded,Plate-Loaded Seated Dip(PL-DIP)으로 보조 없이 좌식 딥 동작을 수행합니다.,"시트, 그립, 중량","🏋️ HAMMER STRENGTH — Plate-Loaded Seated Dip · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""견갑을 아래로 고정하고 팔꿈치를 뒤로 굽히기""

⚙️ ① 기구 세팅
📋 검증 상태: VERIFIED
🏷️ 확인 모델: Plate-Loaded Seated Dip
Plate-Loaded Seated Dip(PL-DIP)으로 보조 없이 좌식 딥 동작을 수행합니다.
⚙️ 조절 포인트: 시트, 그립, 중량

🛤️ ② 운동 경로
팔꿈치 신전 상태에서 상완을 수직 아래로 내렸다 밀어 올리기

⚠️ ③ 흔한 실수
어깨를 앞으로 말리며 깊게 내려가는 것

💡 MACHINE FIT PRO TIP
Plate-Loaded 라인 특성(가이드 궤적·좌우 독립·플레이트 로딩)에 맞춰 첫 2세트는 템포를 늦추고, 좌우/전후 대칭을 확인한 다음 무게를 올리세요.","🏋️ HAMMER STRENGTH — Plate-Loaded Seated Dip · Plate-Loaded

🎯 ONE KEY CUE
🔥 ""Depress the scapula and bend the elbows straight back""

⚙️ ① Setup
📋 Status: VERIFIED
🏷️ Verified model: Plate-Loaded Seated Dip
Plate-Loaded Seated Dip(PL-DIP)으로 보조 없이 좌식 딥 동작을 수행합니다.
⚙️ Adjustments: 시트, 그립, 중량

🛤️ ② Movement path
팔꿈치 신전 상태에서 상완을 수직 아래로 내렸다 밀어 올리기

⚠️ ③ Common mistake
어깨를 앞으로 말리며 깊게 내려가는 

💡 MACHINE FIT PRO TIP
Use the Plate-Loaded guided path: slow the first two sets, check left-right symmetry, then add load."
